"","specimenID","animalID","Sex","Age","Genotype","cohort"
"1","b01.127N",77427,"Female",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"2","b01.127C",77418,"Male",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"3","b01.128N",77019,"Female",12,"LOAD2","LOAD2.ABCA7"
"4","b01.128C",77037,"Male",12,"LOAD2","LOAD2.ABCA7"
"5","b01.129N",77063,"Female",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"6","b01.129C",77874,"Male",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"7","b01.130N",77437,"Female",18,"LOAD2","LOAD2.ABCA7"
"8","b01.130C",77433,"Male",18,"LOAD2","LOAD2.ABCA7"
"9","b01.131C",83694,"Female",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"10","b01.132N",83700,"Male",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"11","b01.132C",83696,"Female",24,"LOAD2","LOAD2.ABCA7"
"12","b01.133N",83219,"Male",24,"LOAD2","LOAD2.ABCA7"
"13","b01.133C",79520,"Female",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"14","b01.134N",78782,"Male",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"15","b01.134C",79720,"Female",4,"LOAD2","LOAD2.ABCA7"
"16","b01.135N",79723,"Male",4,"LOAD2","LOAD2.ABCA7"
"17","b02.127N",77450,"Female",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"18","b02.127C",77083,"Male",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"19","b02.128N",77048,"Male",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"20","b02.128C",77007,"Female",12,"LOAD2","LOAD2.ABCA7"
"21","b02.129N",77035,"Male",12,"LOAD2","LOAD2.ABCA7"
"22","b02.129C",77428,"Female",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"23","b02.130N",77815,"Male",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"24","b02.130C",77402,"Female",18,"LOAD2","LOAD2.ABCA7"
"25","b02.131N",77444,"Male",18,"LOAD2","LOAD2.ABCA7"
"26","b02.132N",83589,"Female",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"27","b02.132C",83688,"Male",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"28","b02.133N",83221,"Male",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"29","b02.133C",83783,"Female",24,"LOAD2","LOAD2.ABCA7"
"30","b02.134N",79597,"Female",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"31","b02.134C",79555,"Female",4,"LOAD2","LOAD2.ABCA7"
"32","b02.135N",79503,"Male",4,"LOAD2","LOAD2.ABCA7"
"33","b03.127N",77449,"Female",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"34","b03.127C",77811,"Male",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"35","b03.128N",77027,"Female",12,"LOAD2","LOAD2.ABCA7"
"36","b03.128C",77001,"Male",12,"LOAD2","LOAD2.ABCA7"
"37","b03.129N",77046,"Female",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"38","b03.129C",77412,"Male",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"39","b03.130N",77808,"Male",18,"LOAD2","LOAD2.ABCA7"
"40","b03.130C",77431,"Male",18,"LOAD2","LOAD2.ABCA7"
"41","b03.131C",83827,"Female",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"42","b03.132N",83784,"Female",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"43","b03.132C",83223,"Male",24,"LOAD2","LOAD2.ABCA7"
"44","b03.133N",82507,"Male",24,"LOAD2","LOAD2.ABCA7"
"45","b03.133C",79721,"Female",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"46","b03.134N",79906,"Male",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"47","b03.134C",79904,"Female",4,"LOAD2","LOAD2.ABCA7"
"48","b03.135N",79598,"Male",4,"LOAD2","LOAD2.ABCA7"
"49","b04.127N",77020,"Female",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"50","b04.127C",77081,"Female",12,"LOAD2","LOAD2.ABCA7"
"51","b04.128N",77002,"Male",12,"LOAD2","LOAD2.ABCA7"
"52","b04.128C",77453,"Female",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"53","b04.129N",77307,"Male",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"54","b04.129C",77071,"Female",18,"LOAD2","LOAD2.ABCA7"
"55","b04.130N",77441,"Female",18,"LOAD2","LOAD2.ABCA7"
"56","b04.131N",83794,"Female",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"57","b04.131C",83686,"Male",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"58","b04.132N",83215,"Female",24,"LOAD2","LOAD2.ABCA7"
"59","b04.132C",82601,"Male",24,"LOAD2","LOAD2.ABCA7"
"60","b04.133N",79557,"Female",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"61","b04.133C",79800,"Male",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"62","b04.134N",79799,"Male",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"63","b04.134C",79536,"Female",4,"LOAD2","LOAD2.ABCA7"
"64","b04.135N",78785,"Male",4,"LOAD2","LOAD2.ABCA7"
"65","b05.127N",77426,"Female",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"66","b05.127C",77425,"Male",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"67","b05.128N",77415,"Female",12,"LOAD2","LOAD2.ABCA7"
"68","b05.128C",77034,"Male",12,"LOAD2","LOAD2.ABCA7"
"69","b05.129N",77499,"Female",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"70","b05.129C",77882,"Male",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"71","b05.130N",77439,"Female",18,"LOAD2","LOAD2.ABCA7"
"72","b05.130C",77806,"Male",18,"LOAD2","LOAD2.ABCA7"
"73","b05.131C",83209,"Female",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"74","b05.132N",83497,"Male",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"75","b05.132C",83498,"Female",24,"LOAD2","LOAD2.ABCA7"
"76","b05.133N",83773,"Male",24,"LOAD2","LOAD2.ABCA7"
"77","b05.133C",79903,"Female",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"78","b05.134N",79901,"Male",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"79","b05.134C",79733,"Female",4,"LOAD2","LOAD2.ABCA7"
"80","b05.135N",79512,"Male",4,"LOAD2","LOAD2.ABCA7"
"81","b06.127N",77475,"Female",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"82","b06.127C",77422,"Male",12,"LOAD2.ABCA7","LOAD2.ABCA7"
"83","b06.128N",77003,"Female",12,"LOAD2","LOAD2.ABCA7"
"84","b06.128C",77033,"Male",12,"LOAD2","LOAD2.ABCA7"
"85","b06.129C",77308,"Male",18,"LOAD2.ABCA7","LOAD2.ABCA7"
"86","b06.130N",77440,"Female",18,"LOAD2","LOAD2.ABCA7"
"87","b06.130C",77435,"Male",18,"LOAD2","LOAD2.ABCA7"
"88","b06.131C",83692,"Male",24,"LOAD2.ABCA7","LOAD2.ABCA7"
"89","b06.132N",83776,"Female",24,"LOAD2","LOAD2.ABCA7"
"90","b06.132C",83785,"Female",24,"LOAD2","LOAD2.ABCA7"
"91","b06.133N",82602,"Male",24,"LOAD2","LOAD2.ABCA7"
"92","b06.133C",79568,"Female",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"93","b06.134N",79580,"Male",4,"LOAD2.ABCA7","LOAD2.ABCA7"
"94","b06.134C",79578,"Female",4,"LOAD2","LOAD2.ABCA7"
"95","b06.135N",79507,"Male",4,"LOAD2","LOAD2.ABCA7"
"96","b01.131N",82976,"Female",24,"B6","LOAD2.ABCA7"
"97","b02.131C",80704,"Male",24,"B6","LOAD2.ABCA7"
"98","b03.131N",80708,"Male",24,"B6","LOAD2.ABCA7"
"99","b04.130C",80709,"Male",24,"B6","LOAD2.ABCA7"
"100","b05.131N",80689,"Female",24,"B6","LOAD2.ABCA7"
"101","b06.131N",80688,"Female",24,"B6","LOAD2.ABCA7"
"102","b07.132C",83752,"Female",4,"B6","LOAD2.MTHFR"
"103","b07.133N",83759,"Female",4,"B6","LOAD2.MTHFR"
"104","b08.131N",79307,"Male",24,"B6","LOAD2.MTHFR"
"105","b08.133C",83753,"Female",4,"B6","LOAD2.MTHFR"
"106","b09.130N",79302,"Female",24,"B6","LOAD2.MTHFR"
"107","b09.132C",88255,"Male",4,"B6","LOAD2.MTHFR"
"108","b10.132N",83757,"Male",4,"B6","LOAD2.MTHFR"
"109","b11.130C",79305,"Male",24,"B6","LOAD2.MTHFR"
"110","b11.132C",83758,"Male",4,"B6","LOAD2.MTHFR"
"111","b12.130C",79309,"Female",24,"B6","LOAD2.MTHFR"
"112","b12.133N",88254,"Female",4,"B6","LOAD2.MTHFR"
"113","b12.133C",83756,"Male",4,"B6","LOAD2.MTHFR"
"114","b13.130N",78699,"Female",24,"B6","LOAD2.MTHFR"
"115","b13.132N",88253,"Female",4,"B6","LOAD2.MTHFR"
"116","b13.132C",83760,"Male",4,"B6","LOAD2.MTHFR"
